userId,new_user_id
1,0
2,1
3,2
4,3
10,4
11,5
12,6
13,7
14,8
16,9
17,10
18,11
19,12
20,13
21,14
24,15
26,16
29,17
30,18
31,19
33,20
34,21
35,22
37,23
38,24
39,25
40,26
43,27
44,28
46,29
50,30
51,31
52,32
53,33
54,34
55,35
56,36
57,37
58,38
59,39
62,40
63,41
64,42
65,43
66,44
68,45
69,46
70,47
71,48
75,49
76,50
78,51
81,52
82,53
84,54
87,55
88,56
89,57
91,58
92,59
93,60
95,61
96,62
98,63
99,64
101,65
102,66
104,67
107,68
108,69
109,70
110,71
111,72
113,73
114,74
117,75
119,76
126,77
127,78
128,79
131,80
134,81
135,82
138,83
139,84
142,85
144,86
145,87
146,88
148,89
149,90
150,91
151,92
153,93
154,94
155,95
159,96
160,97
161,98
163,99
164,100
169,101
170,102
171,103
172,104
174,105
180,106
181,107
184,108
185,109
186,110
187,111
191,112
192,113
194,114
195,115
196,116
197,117
202,118
203,119
204,120
207,121
208,122
209,123
210,124
211,125
213,126
216,127
217,128
218,129
219,130
220,131
221,132
222,133
223,134
224,135
225,136
227,137
228,138
233,139
234,140
235,141
238,142
241,143
242,144
243,145
246,146
248,147
249,148
251,149
252,150
253,151
254,152
255,153
257,154
260,155
264,156
265,157
266,158
267,159
271,160
273,161
274,162
275,163
279,164
282,165
283,166
284,167
286,168
287,169
289,170
290,171
292,172
293,173
294,174
295,175
296,176
300,177
301,178
302,179
303,180
305,181
307,182
308,183
310,184
312,185
316,186
317,187
318,188
320,189
321,190
323,191
324,192
326,193
327,194
334,195
335,196
336,197
337,198
338,199
339,200
343,201
345,202
347,203
349,204
354,205
355,206
357,207
358,208
361,209
362,210
364,211
365,212
367,213
368,214
373,215
375,216
376,217
378,218
379,219
381,220
382,221
388,222
390,223
393,224
394,225
395,226
397,227
399,228
401,229
402,230
403,231
406,232
408,233
409,234
410,235
411,236
412,237
413,238
415,239
416,240
418,241
419,242
423,243
424,244
425,245
426,246
429,247
431,248
432,249
435,250
436,251
439,252
440,253
441,254
442,255
444,256
445,257
448,258
449,259
450,260
451,261
452,262
454,263
456,264
460,265
462,266
464,267
465,268
466,269
467,270
468,271
469,272
471,273
475,274
476,275
477,276
478,277
481,278
485,279
486,280
489,281
491,282
492,283
494,284
496,285
498,286
500,287
501,288
503,289
504,290
505,291
510,292
511,293
512,294
513,295
514,296
515,297
517,298
520,299
521,300
522,301
524,302
527,303
531,304
536,305
538,306
541,307
542,308
543,309
544,310
546,311
548,312
549,313
550,314
551,315
554,316
556,317
558,318
560,319
562,320
563,321
566,322
567,323
569,324
571,325
572,326
573,327
574,328
575,329
577,330
579,331
581,332
583,333
585,334
588,335
589,336
590,337
593,338
595,339
596,340
598,341
602,342
603,343
605,344
606,345
607,346
608,347
610,348
612,349
613,350
615,351
618,352
619,353
626,354
628,355
629,356
630,357
632,358
635,359
642,360
646,361
647,362
648,363
650,364
652,365
653,366
656,367
657,368
658,369
660,370
661,371
667,372
670,373
674,374
675,375
678,376
679,377
681,378
684,379
687,380
689,381
691,382
696,383
698,384
699,385
700,386
701,387
702,388
704,389
705,390
706,391
709,392
710,393
711,394
712,395
713,396
714,397
715,398
716,399
718,400
722,401
723,402
725,403
727,404
729,405
730,406
735,407
736,408
737,409
738,410
739,411
740,412
741,413
742,414
743,415
744,416
747,417
