movieId,new_movie_id
1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,20
22,21
23,22
24,23
25,24
26,25
27,26
28,27
29,28
30,29
31,30
32,31
33,32
34,33
35,34
36,35
37,36
38,37
39,38
40,39
41,40
42,41
43,42
44,43
45,44
46,45
47,46
48,47
49,48
50,49
51,50
52,51
53,52
54,53
55,54
56,55
57,56
58,57
59,58
60,59
61,60
62,61
63,62
64,63
65,64
66,65
67,66
68,67
69,68
70,69
71,70
72,71
73,72
74,73
75,74
76,75
77,76
78,77
79,78
80,79
81,80
82,81
83,82
84,83
85,84
86,85
87,86
88,87
89,88
90,89
92,90
93,91
94,92
95,93
96,94
97,95
98,96
99,97
100,98
101,99
102,100
103,101
104,102
105,103
106,104
107,105
108,106
109,107
110,108
111,109
112,110
113,111
114,112
115,113
116,114
117,115
118,116
119,117
120,118
121,119
122,120
123,121
124,122
125,123
126,124
127,125
128,126
129,127
130,128
131,129
132,130
133,131
134,132
135,133
136,134
137,135
138,136
139,137
140,138
141,139
142,140
143,141
144,142
145,143
146,144
147,145
148,146
149,147
150,148
151,149
152,150
153,151
154,152
155,153
156,154
157,155
158,156
159,157
160,158
161,159
162,160
163,161
164,162
165,163
166,164
167,165
168,166
169,167
170,168
171,169
172,170
173,171
174,172
175,173
176,174
177,175
178,176
179,177
180,178
181,179
182,180
183,181
184,182
185,183
186,184
187,185
188,186
189,187
190,188
191,189
192,190
193,191
194,192
195,193
196,194
197,195
198,196
199,197
200,198
201,199
202,200
203,201
204,202
205,203
206,204
207,205
208,206
209,207
210,208
211,209
212,210
213,211
214,212
215,213
216,214
217,215
218,216
219,217
220,218
222,219
223,220
224,221
225,222
226,223
227,224
228,225
229,226
230,227
231,228
232,229
233,230
234,231
235,232
236,233
237,234
238,235
239,236
240,237
241,238
242,239
243,240
244,241
245,242
246,243
247,244
248,245
249,246
250,247
251,248
252,249
253,250
254,251
255,252
256,253
257,254
258,255
259,256
260,257
261,258
262,259
263,260
264,261
265,262
266,263
267,264
268,265
269,266
270,267
271,268
272,269
273,270
274,271
275,272
276,273
277,274
278,275
279,276
280,277
281,278
282,279
283,280
284,281
285,282
286,283
287,284
288,285
289,286
290,287
292,288
293,289
294,290
295,291
296,292
297,293
298,294
299,295
300,296
301,297
302,298
303,299
304,300
305,301
306,302
307,303
308,304
309,305
310,306
311,307
312,308
313,309
314,310
315,311
316,312
317,313
318,314
319,315
320,316
321,317
322,318
324,319
325,320
326,321
327,322
328,323
329,324
330,325
331,326
332,327
333,328
334,329
335,330
336,331
337,332
338,333
339,334
340,335
341,336
342,337
343,338
344,339
345,340
346,341
347,342
348,343
349,344
350,345
351,346
352,347
353,348
354,349
355,350
356,351
357,352
358,353
359,354
360,355
361,356
362,357
363,358
364,359
365,360
366,361
367,362
368,363
369,364
370,365
371,366
372,367
373,368
374,369
375,370
376,371
377,372
378,373
379,374
380,375
381,376
382,377
383,378
384,379
385,380
386,381
387,382
388,383
389,384
390,385
391,386
392,387
393,388
394,389
395,390
396,391
397,392
398,393
400,394
401,395
402,396
403,397
404,398
405,399
406,400
407,401
408,402
409,403
410,404
411,405
412,406
413,407
414,408
415,409
416,410
417,411
418,412
419,413
420,414
421,415
422,416
423,417
